uuid,state,state_code
5c41c63414b4287353501eb4,Jawa Timur,1200
5c41c63414b4287353501ebd,Bengkulu,2300
5c41c63414b4287353501eba,Jambi,3100
5c41c63414b4287353501eaa,Nanggroe Aceh Darussalam (NAD),3200
5c41c63414b4287353501ead,Sumatera Utara,3300
5c41c63414b4287353501eab,Sumatera Barat,3400
5c41c63414b4287353501ebb,Riau,3500
5c41c63414b4287353501eb8,Sumatera Selatan,3600
5c41c63414b4287353501eb3,Bangka Belitung,3700
5c41c63414b4287353501ec0,Kepulauan Riau,3800
5c41c63414b4287353501ec9,Lampung,3900
5c41c63414b4287353501eb0,Kalimantan Selatan,5100
5c41c63414b4287353501ebc,Kalimantan Barat,5300
5c41c63414b4287353501ebe,Kalimantan Timur,5400
5c41c63414b4287353501ec4,Kalimantan Utara,5500
5c41c63414b4287353501eb9,Kalimantan Tengah,5800
5c41c63414b4287353501eb2,Sulawesi Tengah,6000
5c41c63414b4287353501eb6,Sulawesi Selatan,6100
5c41c63414b4287353501ec2,Sulawesi Utara,6200
5c41c63414b4287353501ec1,Gorontalo,6300
5c41c63414b4287353501ecb,Sulawesi Barat,6400
5c41c63414b4287353501ec3,Sulawesi Tenggara,6900
5c41c63414b4287353501ebf,Nusa Tenggara Barat (NTB),7100
5c41c63414b4287353501eaf,Bali,7200
5c41c63414b4287353501eac,Nusa Tenggara Timur (NTT),7400
5c41c63414b4287353501ec5,Maluku,8100
5c41c63414b4287353501eae,Papua,8200
5c41c63414b4287353501ec8,Maluku Utara,8300
5c41c63414b4287353501ec6,Papua Barat,8400
5c41c63414b4287353501eb1,Jawa Barat,0100
5c41c63414b4287353501eca,Banten,0200
5c41c63414b4287353501ec7,DKI Jakarta,0300
5c41c63414b4287353501eb7,DI Yogyakarta,0500
5c41c63414b4287353501eb5,Jawa Tengah,0900